Instr (PE 1 - INV_ACK) Ciclos totales: 8 ciclos, En cola: 6 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.500
Instr (PE 0 - INV_ACK) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 2 - INV_ACK) Ciclos totales: 8 ciclos, En cola: 6 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.500
Instr (PE 3 - INV_ACK) Ciclos totales: 9 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.444
Instr (PE 4 - INV_ACK) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 5 - INV_ACK) Ciclos totales: 11 ciclos, En cola: 9 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.364
Instr (PE 6 - INV_ACK) Ciclos totales: 12 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.333
Instr (PE 7 - INV_ACK) Ciclos totales: 2 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 2
Instr (PE 4 - INV_COMPLETE) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 2 - INV_ACK) Ciclos totales: 15 ciclos, En cola: 13 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.267
Instr (PE 3 - INV_ACK) Ciclos totales: 16 ciclos, En cola: 14 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.250
Instr (PE 4 - INV_ACK) Ciclos totales: 10 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.400
Instr (PE 6 - INV_ACK) Ciclos totales: 18 ciclos, En cola: 16 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.222
Instr (PE 7 - INV_COMPLETE) Ciclos totales: 8 ciclos, En cola: 6 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.500
Instr (PE 3 - BROADCAST_INVALIDATE) Ciclos totales: 27 ciclos, En cola: 18 ciclos, Conteo de ciclos (eventos): 9 ciclos, Bytes: 12, Metrica BW: 0.444
Instr (PE 4 - BROADCAST_INVALIDATE) Ciclos totales: 11 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 9 ciclos, Bytes: 12, Metrica BW: 1
Instr (PE 1 - BROADCAST_INVALIDATE) Ciclos totales: 10 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 9 ciclos, Bytes: 12, Metrica BW: 1
Instr (PE 1 - INV_ACK) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 2 - INV_ACK) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 7 - INV_ACK) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.800
Instr (PE 0 - INV_ACK) Ciclos totales: 6 ciclos, En cola: 4 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.667
Instr (PE 0 - INV_ACK) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 2 - INV_ACK) Ciclos totales: 8 ciclos, En cola: 6 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.500
Instr (PE 3 - INV_ACK) Ciclos totales: 9 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.444
Instr (PE 1 - INV_COMPLETE) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 4 - INV_ACK) Ciclos totales: 11 ciclos, En cola: 9 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.364
Instr (PE 5 - INV_ACK) Ciclos totales: 12 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.333
Instr (PE 6 - INV_ACK) Ciclos totales: 13 ciclos, En cola: 11 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.308
Instr (PE 7 - INV_ACK) Ciclos totales: 14 ciclos, En cola: 12 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.286
Instr (PE 1 - INV_ACK) Ciclos totales: 12 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.333
Instr (PE 2 - INV_ACK) Ciclos totales: 16 ciclos, En cola: 14 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.250
Instr (PE 3 - INV_ACK) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.800
Instr (PE 5 - INV_ACK) Ciclos totales: 18 ciclos, En cola: 16 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.222
Instr (PE 3 - INV_COMPLETE) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 0 - INV_ACK) Ciclos totales: 20 ciclos, En cola: 18 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.200
Instr (PE 6 - INV_ACK) Ciclos totales: 21 ciclos, En cola: 19 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.190
Instr (PE 4 - INV_ACK) Ciclos totales: 2 ciclos, En cola: 0 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 2
Instr (PE 5 - INV_ACK) Ciclos totales: 23 ciclos, En cola: 21 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.174
Instr (PE 6 - INV_ACK) Ciclos totales: 24 ciclos, En cola: 22 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.167
Instr (PE 7 - INV_ACK) Ciclos totales: 25 ciclos, En cola: 23 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.160
Instr (PE 4 - INV_COMPLETE) Ciclos totales: 6 ciclos, En cola: 4 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.667
Instr (PE 1 - INV_ACK) Ciclos totales: 24 ciclos, En cola: 22 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.167
Instr (PE 6 - BROADCAST_INVALIDATE) Ciclos totales: 36 ciclos, En cola: 27 ciclos, Conteo de ciclos (eventos): 9 ciclos, Bytes: 12, Metrica BW: 0.333
Instr (PE 2 - INV_ACK) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 6 - BROADCAST_INVALIDATE) Ciclos totales: 38 ciclos, En cola: 29 ciclos, Conteo de ciclos (eventos): 9 ciclos, Bytes: 12, Metrica BW: 0.316
Instr (PE 3 - INV_ACK) Ciclos totales: 3 ciclos, En cola: 1 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 0 - INV_ACK) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 1 - INV_ACK) Ciclos totales: 4 ciclos, En cola: 2 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 1
Instr (PE 1 - INV_ACK) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.800
Instr (PE 0 - INV_ACK) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 1 - INV_COMPLETE) Ciclos totales: 7 ciclos, En cola: 5 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.571
Instr (PE 2 - INV_ACK) Ciclos totales: 9 ciclos, En cola: 7 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.444
Instr (PE 3 - INV_ACK) Ciclos totales: 10 ciclos, En cola: 8 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.400
Instr (PE 4 - INV_ACK) Ciclos totales: 11 ciclos, En cola: 9 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.364
Instr (PE 5 - INV_ACK) Ciclos totales: 12 ciclos, En cola: 10 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.333
Instr (PE 7 - INV_ACK) Ciclos totales: 13 ciclos, En cola: 11 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.308
Instr (PE 4 - INV_ACK) Ciclos totales: 14 ciclos, En cola: 12 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.286
Instr (PE 2 - INV_ACK) Ciclos totales: 15 ciclos, En cola: 13 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.267
Instr (PE 6 - INV_COMPLETE) Ciclos totales: 5 ciclos, En cola: 3 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.800
Instr (PE 5 - INV_ACK) Ciclos totales: 17 ciclos, En cola: 15 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.235
Instr (PE 7 - INV_ACK) Ciclos totales: 19 ciclos, En cola: 17 ciclos, Conteo de ciclos (eventos): 2 ciclos, Bytes: 4, Metrica BW: 0.211

=============================================
BW TOTAL DEL PROGRAMA:
Bytes totales: 11296
Ciclos totales: 6062
BW total: 1.863
=============================================
